EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us]
1,100,0.00260838,383.38,0.00521676,179.335,38338
2,100,0.00219457,455.67,0.00877828,90.2575,45567
3,100,0.0013885,720.2,0.00833102,110.053,72020
4,100,0.00309052,323.57,0.0247242,36.9763,32357
5,100,0.00184495,542.02,0.0184495,49.758,54202
6,100,0.00243208,411.17,0.029185,30.7183,41117
7,100,0.00296947,336.76,0.0415726,20.1779,33676
8,100,0.00243291,411.03,0.0389266,22.7781,41103
9,100,0.00209288,477.81,0.0376719,21.685,47781
10,100,0.0019015,525.9,0.03803,20.4975,52590
11,100,0.00224472,445.49,0.0493838,17.8814,44549
12,100,0.00230383,434.06,0.0552919,15.5792,43406
13,100,0.00219988,454.57,0.0571969,14.9119,45457
14,100,0.00265752,376.29,0.0744107,11.3725,37629
15,100,0.00194723,513.55,0.0584169,14.579,51355
16,100,0.00205617,486.34,0.0657976,12.6062,48634
17,100,0.00176785,565.66,0.0601068,11.7894,56566
18,100,0.00216427,462.05,0.0779136,10.5444,46205
19,100,0.00195458,511.62,0.0742739,10.3326,51162
20,100,0.001806,553.71,0.07224,11.6185,55371
20,100,0.00186926,534.97,0.0747705,11.1952,53497
20,100,0.00208969,478.54,0.0835876,9.73725,47854
20,100,0.00238299,419.64,0.0953198,7.4835,41964
20,100,0.0015703,636.82,0.0628121,12.4225,63682
20,100,0.00162195,616.54,0.0648782,11.1557,61654
20,100,0.00173139,577.57,0.0692557,11.39,57757
20,100,0.00187995,531.93,0.0751979,10.0243,53193
20,100,0.00157438,635.17,0.0629753,11.4535,63517
20,100,0.00235167,425.23,0.0940667,7.30275,42523
20,100,0.00143004,699.28,0.0572017,11.4053,69928
20,100,0.0021661,461.66,0.0866439,9.19225,46166
20,100,0.00185319,539.61,0.0741276,11.3185,53961
20,100,0.00144098,693.97,0.0576394,14.0008,69397
20,100,0.00218536,457.59,0.0874145,8.03025,45759
20,100,0.00174663,572.53,0.0698653,9.7705,57253
20,100,0.00161949,617.48,0.0647794,13.379,61748
20,100,0.00191164,523.11,0.0764658,10.5838,52311
20,100,0.00203782,490.72,0.0815129,9.163,49072
20,100,0.00207211,482.6,0.0828844,8.66425,48260
20,100,0.00238175,419.86,0.0952699,7.73125,41986
20,100,0.00183962,543.59,0.0735849,9.3075,54359
20,100,0.00192456,519.6,0.0769823,9.97925,51960
20,100,0.00193125,517.8,0.0772499,11.1258,51780
20,100,0.00161202,620.34,0.0644808,12.9113,62034
20,100,0.00204328,489.41,0.0817311,9.67625,48941
20,100,0.00198886,502.8,0.0795545,10.4942,50280
20,100,0.00168848,592.25,0.067539,12.339,59225
20,100,0.00155977,641.12,0.0623908,13.8785,64112
20,100,0.00151215,661.31,0.060486,14.468,66131
20,100,0.00147417,678.35,0.0589666,12.8082,67835
20,100,0.00190483,524.98,0.0761934,10.944,52498
20,100,0.00113376,882.02,0.0453504,16.7,88202
20,100,0.000773371,1293.04,0.0309349,28.5925,129304
20,100,0.000448404,2230.13,0.0179362,47.902,223013
20,100,0.000933384,1071.37,0.0373354,9.26425,107137
20,100,0.0018304,546.33,0.0732158,11.8008,54633
20,100,0.0017168,582.48,0.0686719,12.502,58248
20,100,0.00112666,887.58,0.0450664,17.0613,88758
20,100,0.00195358,511.88,0.0781433,10.5567,51188
20,100,0.00182027,549.37,0.0728107,11.66,54937
20,100,0.0017526,570.58,0.0701041,11.8673,57058
20,100,0.00163271,612.48,0.0653083,12.1935,61248
20,100,0.00205563,486.47,0.082225,9.155,48647
20,100,0.00270453,369.75,0.108181,6.81325,36975
20,100,0.00184952,540.68,0.0739809,10.271,54068
20,100,0.00177223,564.26,0.0708893,11.5785,56426
20,100,0.00280238,356.84,0.112095,6.971,35684
20,100,0.00209644,477,0.0838574,9.57375,47700
20,100,0.00209494,477.34,0.0837977,9.441,47734
20,100,0.002405,415.8,0.0962001,8.10525,41580
20,100,0.00225591,443.28,0.0902364,8.91475,44328
20,100,0.00208047,480.66,0.0832189,9.9595,48066
20,100,0.00184894,540.85,0.0739577,10.2182,54085
20,100,0.00187063,534.58,0.0748251,10.1665,53458
20,100,0.00219626,455.32,0.0878503,8.51125,45532
20,100,0.00214578,466.03,0.0858314,8.486,46603
20,100,0.00208416,479.81,0.0833663,9.097,47981
20,100,0.00203128,492.3,0.0812513,9.3855,49230
20,100,0.00198189,504.57,0.0792754,9.805,50457
20,100,0.00196128,509.87,0.0784514,9.68975,50987
20,100,0.00208225,480.25,0.08329,9.67325,48025
20,100,0.00241488,414.1,0.096595,8.372,41410
20,100,0.00267065,374.44,0.106826,7.2485,37444
20,100,0.0022409,446.25,0.0896359,8.921,44625
20,100,0.00250828,398.68,0.100331,8.00575,39868
20,100,0.00255552,391.31,0.102221,7.76975,39131
20,100,0.00182452,548.09,0.0729807,11.255,54809
20,100,0.00181459,551.09,0.0725834,9.38775,55109
20,100,0.00217099,460.62,0.0868395,7.0535,46062
20,100,0.00160108,624.58,0.064043,12.3187,62458
20,100,0.00225785,442.9,0.0903138,7.92875,44290
20,100,0.00183352,545.4,0.0733407,9.66325,54540
20,100,0.00140491,711.79,0.0561964,14.6965,71179
20,100,0.0018383,543.98,0.0735321,11.0015,54398
20,100,0.00206101,485.2,0.0824402,9.69325,48520
20,100,0.000497446,2010.27,0.0198978,10.3745,201027
20,100,0.00188968,529.19,0.0755872,9.7245,52919
20,100,0.00184464,542.11,0.0737858,9.60975,54211
20,100,0.00198468,503.86,0.0793871,8.625,50386
20,100,0.0024573,406.95,0.0982922,8.20325,40695
1,100,0.000259209,3857.89,0.000518418,1642.96,385789
2,100,0.000226631,4412.45,0.000906526,1062.34,441245
