EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us]
1,100,0.00128662,777.23,0.00257324,173.745,77723
2,100,0.00109013,917.32,0.00436053,85.68,91732
3,100,0.00213361,468.69,0.0128016,68.09,46869
4,100,0.00125575,796.34,0.010046,51.98,79634
5,100,0.0038301,261.09,0.038301,23.205,26109
6,100,0.00266688,374.97,0.0320026,26.6483,37497
7,100,0.00319887,312.61,0.0447842,19.6993,31261
8,100,0.00273418,365.74,0.0437469,18.675,36574
9,100,0.00309895,322.69,0.0557811,15.53,32269
10,100,0.00320236,312.27,0.0640471,12.6645,31227
11,100,0.00134171,745.32,0.0295175,15.5609,74532
12,100,0.0017391,575.01,0.0417384,20.0496,57501
13,100,0.00305418,327.42,0.0794087,10.4012,32742
14,100,0.00284212,351.85,0.0795794,10.4429,35185
15,100,0.00298721,334.76,0.0896164,8.959,33476
16,100,0.00293169,341.1,0.0938141,8.29,34110
17,100,0.00248262,402.8,0.0844091,8.32324,40280
18,100,0.00196645,508.53,0.0707923,10.1328,50853
19,100,0.00239607,417.35,0.0910507,8.42395,41735
20,100,0.00207065,482.94,0.082826,9.12725,48294
20,100,0.00131985,757.66,0.0527941,10.5,75766
20,100,0.00122705,814.96,0.0490822,9.832,81496
20,100,0.00127144,786.51,0.0508576,8.41125,78651
20,100,0.00294542,339.51,0.117817,6.5075,33951
20,100,0.00325002,307.69,0.130001,6.1,30769
20,100,0.00356265,280.69,0.142506,5.428,28069
20,100,0.00209126,478.18,0.0836505,9.65925,47818
20,100,0.00245314,407.64,0.0981258,8.15025,40764
20,100,0.00233891,427.55,0.0935563,8.5175,42755
20,100,0.00262385,381.12,0.104954,6.38525,38112
20,100,0.00257221,388.77,0.102889,6.489,38877
20,100,0.00152367,656.31,0.0609468,7.65175,65631
20,100,0.00126382,791.25,0.0505529,10.7058,79125
20,100,0.00223459,447.51,0.0893835,8.0655,44751
20,100,0.00329772,303.24,0.131909,5.95925,30324
20,100,0.00256898,389.26,0.102759,7.60375,38926
20,100,0.00229169,436.36,0.0916674,7.89125,43636
20,100,0.00243002,411.52,0.0972006,6.95625,41152
20,100,0.00276947,361.08,0.110779,7.126,36108
20,100,0.00145715,686.27,0.0582861,9.40175,68627
20,100,0.00221749,450.96,0.0886997,8.56075,45096
20,100,0.00425387,235.08,0.170155,4.33125,23508
20,100,0.00311662,320.86,0.124665,6.2475,32086
20,100,0.00285951,349.71,0.11438,6.91825,34971
20,100,0.00297681,335.93,0.119072,6.542,33593
20,100,0.00308452,324.2,0.123381,6.37525,32420
20,100,0.00286755,348.73,0.114702,6.764,34873
20,100,0.0016127,620.08,0.0645078,12.0205,62008
20,100,0.00267659,373.61,0.107064,7.5965,37361
20,100,0.00299976,333.36,0.11999,6.6365,33336
20,100,0.00176056,568,0.0704225,7.01375,56800
20,100,0.00169713,589.23,0.0678852,11.058,58923
20,100,0.00298954,334.5,0.119581,6.686,33450
20,100,0.00272836,366.52,0.109135,7.0885,36652
20,100,0.00273299,365.9,0.109319,6.2895,36590
20,100,0.00168694,592.79,0.0674775,10.472,59279
20,100,0.00242783,411.89,0.0971133,7.633,41189
20,100,0.00301205,332,0.120482,6.11925,33200
20,100,0.00229742,435.27,0.091897,8.696,43527
20,100,0.00200437,498.91,0.0801748,8.7775,49891
20,100,0.00215128,464.84,0.0860511,8.137,46484
20,100,0.00302636,330.43,0.121054,6.56375,33043
20,100,0.00309895,322.69,0.123958,6.3315,32269
20,100,0.00247115,404.67,0.098846,7.122,40467
20,100,0.00211282,473.3,0.084513,9.1685,47330
20,100,0.00308699,323.94,0.12348,6.16825,32394
20,100,0.00124418,803.74,0.0497673,10.2395,80374
20,100,0.000955493,1046.58,0.0382197,11.6865,104658
20,100,0.00152851,654.23,0.0611406,8.65225,65423
20,100,0.000971921,1028.89,0.0388768,14.5478,102889
20,100,0.0016818,594.6,0.0672721,10.964,59460
20,100,0.00293729,340.45,0.117492,6.70425,34045
20,100,0.00295281,338.66,0.118113,6.67425,33866
20,100,0.00306401,326.37,0.12256,6.01925,32637
20,100,0.00195031,512.74,0.0780122,9.43725,51274
20,100,0.00214147,466.97,0.0856586,7.38525,46697
20,100,0.00233084,429.03,0.0932336,6.89575,42903
20,100,0.00319489,313,0.127796,5.98475,31300
20,100,0.00241063,414.83,0.096425,6.6815,41483
20,100,0.00144182,693.57,0.0576726,11.1862,69357
20,100,0.00248342,402.67,0.0993369,7.6395,40267
20,100,0.00208433,479.77,0.0833733,7.039,47977
20,100,0.00129904,769.8,0.0519615,11.4725,76980
20,100,0.000766424,1304.76,0.030657,14.6402,130476
20,100,0.00152774,654.56,0.0611098,10.759,65456
20,100,0.00193566,516.62,0.0774263,10.181,51662
20,100,0.00136846,730.75,0.0547383,9.399,73075
20,100,0.00225038,444.37,0.0900151,8.48175,44437
20,100,0.00214671,465.83,0.0858682,9.201,46583
20,100,0.0032041,312.1,0.128164,5.9125,31210
20,100,0.00247445,404.13,0.0989781,8.0225,40413
20,100,0.00258699,386.55,0.103479,6.62175,38655
20,100,0.00289159,345.83,0.115664,6.6435,34583
20,100,0.00265287,376.95,0.106115,6.2755,37695
20,100,0.00227583,439.4,0.0910332,7.20875,43940
20,100,0.00121324,824.24,0.0485296,9.0805,82424
20,100,0.00259572,385.25,0.103829,7.57125,38525
20,100,0.00133726,747.8,0.0534902,8.67,74780
20,100,0.00138694,721.01,0.0554777,12.6188,72101
