EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us]
14,100,0.000648097,1542.98,0.0181467,51.6414,154298
15,100,0.000569775,1755.08,0.0170932,54.7187,175508
16,100,0.000645941,1548.13,0.0206701,41.4803,154813
17,100,0.000595284,1679.87,0.0202397,33.6271,167987
18,100,0.000756538,1321.81,0.0272354,32.5731,132181
19,100,0.000765521,1306.3,0.0290898,32.8966,130630
20,100,0.000744269,1343.6,0.0297708,30.3672,134360
21,100,0.000799405,1250.93,0.033575,27.1319,125093
22,100,0.000843334,1185.77,0.0371067,25.5427,118577
23,100,0.0007061,1416.23,0.0324806,25.922,141623
24,100,0.000777895,1285.52,0.037339,23.8046,128552
25,100,0.000627861,1592.71,0.031393,23.277,159271
26,100,0.000691874,1445.35,0.0359774,23.265,144535
27,100,0.000606708,1648.24,0.0327622,21.6043,164824
28,100,0.00082226,1216.16,0.0460466,20.5611,121616
29,100,0.000745206,1341.91,0.043222,20.7328,134191
30,100,0.000629358,1588.92,0.0377615,24.8793,158892
31,100,0.00086713,1153.23,0.053762,17.3258,115323
32,100,0.000752814,1328.35,0.0481801,17.8644,132835
33,100,0.000683663,1462.71,0.0451217,20.5364,146271
34,100,0.000510558,1958.64,0.034718,21.3509,195864
35,100,0.00070594,1416.55,0.0494158,16.5996,141655
36,100,0.000672585,1486.8,0.0484262,17.4479,148680
37,100,0.000609593,1640.44,0.0451098,16.0165,164044
38,100,0.00062482,1600.46,0.0474863,15.6603,160046
39,100,0.000601392,1662.81,0.0469085,16.6642,166281
40,100,0.000716836,1395.02,0.0573468,15.4725,139502
41,100,0.000619905,1613.15,0.0508322,13.7793,161315
42,100,0.000722549,1383.99,0.0606941,14.4799,138399
43,100,0.000720145,1388.61,0.0619324,14.4563,138861
44,100,0.000676082,1479.11,0.0594952,15.428,147911
45,100,0.000735272,1360.04,0.0661745,12.8391,136004
46,100,0.000708908,1410.62,0.0652195,12.4542,141062
47,100,0.00075278,1328.41,0.0707613,12.244,132841
48,100,0.000614036,1628.57,0.0589474,12.2191,162857
49,100,0.000743086,1345.74,0.0728224,12.1778,134574
50,100,0.000786572,1271.34,0.0786572,11.4944,127134
51,100,0.000632371,1581.35,0.0645018,12.0459,158135
52,100,0.000761336,1313.48,0.079179,11.0489,131348
53,100,0.000687994,1453.5,0.0729274,10.9621,145350
54,100,0.000780604,1281.06,0.0843052,10.6055,128106
55,100,0.000622661,1606.01,0.0684927,11.4274,160601
56,100,0.000616641,1621.69,0.0690638,11.9216,162169
57,100,0.000567312,1762.7,0.0646735,9.99982,176270
58,100,0.000697788,1433.1,0.0809434,11.3543,143310
59,100,0.000626284,1596.72,0.0739015,9.95025,159672
60,100,0.000826419,1210.04,0.0991703,9.00375,121004
61,100,0.000809782,1234.9,0.0987934,8.8509,123490
62,100,0.000779539,1282.81,0.0966628,8.81556,128281
63,100,0.000676787,1477.57,0.0852751,9.04333,147757
64,100,0.000826597,1209.78,0.105804,8.20547,120978
64,100,0.000765738,1305.93,0.0980144,8.61016,130593
64,100,0.000812196,1231.23,0.103961,8.34477,123123
64,100,0.0008343,1198.61,0.10679,8.25922,119861
64,100,0.000822727,1215.47,0.105309,8.45398,121547
64,100,0.000813378,1229.44,0.104112,8.47133,122944
64,100,0.000816807,1224.28,0.104551,8.53875,122428
64,100,0.000761255,1313.62,0.0974407,8.57328,131362
64,100,0.000587344,1702.58,0.07518,8.7743,170258
64,100,0.000641128,1559.75,0.0820644,9.80141,155975
64,100,0.000661402,1511.94,0.0846594,10.3452,151194
64,100,0.000800307,1249.52,0.102439,8.16188,124952
64,100,0.000760896,1314.24,0.0973947,8.43008,131424
64,100,0.000757553,1320.04,0.0969668,8.89711,132004
64,100,0.000749412,1334.38,0.0959247,8.35883,133438
64,100,0.000819115,1220.83,0.104847,8.43164,122083
64,100,0.000779703,1282.54,0.099802,8.84945,128254
64,100,0.000665522,1502.58,0.0851868,8.52359,150258
64,100,0.000607275,1646.7,0.0777312,8.91547,164670
64,100,0.000801533,1247.61,0.102596,8.70094,124761
64,100,0.000762276,1311.86,0.0975714,8.81102,131186
64,100,0.000796997,1254.71,0.102016,8.27219,125471
64,100,0.000793632,1260.03,0.101585,8.50617,126003
